기관코드,기관명,식별자,제목,발행,source_url,관련여부,매칭키워드,요약여부,갱신일
kedi-brief,교육개발원 브리프,34468,[2021년 22호 | 한정윤] 중·고등학교 학생선수의 온라인 학습 참여 ...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34468&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,o,온라인,X,2026-07-20
kedi-brief,교육개발원 브리프,34459,[2021년 21호 | 이기준] ‘메타버스 기반 온라인 연수’ 코로나 비대...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34459&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,o,메타버스;온라인,X,2026-07-20
kedi-brief,교육개발원 브리프,34453,"[2021년 20호 | 김혜자] 사교육 비용, 시간, 공간 실태 분석결과",2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34453&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34445,[2021년 19호 | 황은희] 새로운 학력관에 따른 고교체제 구축 방안,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34445&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34418,[2021년 18호 | 안해정] 지속가능개발목표(SDGs) 달성을 위한 개발도...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34418&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34397,[2021년 17호 | 박경호] 초등학교 시기 학업성취수준 기초 미달 여부...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34397&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34382,[2021년 16호 | 조진일] 미래형 학교의 대지 면적과 배치 및 평면 유...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34382&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34368,[2021년 15호 | 이상민] 학교공간혁신의 교육효과는 어떻게 평가할 수...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34368&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34326,[2021년 14호 | 허주] 혁신교육 지속과 발전을 위한 개선과제,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34326&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34310,[2021년 13호 | 이선영] 교사가 인식하는 학생의 학교 참여 내용과 수...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34310&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
